# swat parameters in swat-mf model,,,,,,,
flag,alias ,parnam,obj_type,chg_type,lb,ub,des
0,,HLIFE_NGW_BSN,bsn,,0,500,
0,,RCN_SUB_BSN,bsn,,0,2,
0,,BC1_BSN,bsn,,0.1,1,
0,,BC2_BSN,bsn,,0.2,2,
0,,BC3_BSN,bsn,,0.02,0.4,
0,,BC4_BSN,bsn,,0.01,0.7,
0,,DECR_MIN,bsn,,0,0.05,
0,,ICFAC,bsn,,0,1,
0,,RSD_COVCO,bsn,,0.1,0.5,
0,,VCRIT,bsn,,0,10,
0,,CSWAT,bsn,,0,1,
0,,RES_STLR_CO,bsn,,0,1,
0,,RAMMO_SUB,bsn,,0,1,
0,,RCN_SUB,bsn,,0,2,
0,,DRYDEP_NH4,bsn,,0,1,
0,,DRYDEP_NO3,bsn,,0,7,
0,,BUFF_CF,bsn,,0,1,
0,,DEPIMP_BSN,bsn,,0,6000,
0,,BFLO_DIST,bsn,,0,1,
0,,IUH,bsn,,1,2,
0,,UHALPHA,bsn,,0.5,10,
0,,EROS_SPL,bsn,,0.9,3.1,
0,,RILL_MULT,bsn,,0.5,2,
0,,EROS_EXPO,bsn,,1.5,3,
0,,SUBD_CHSED,bsn,,0,2,
0,,C_FACTOR,bsn,,0.001,0.45,
0,,CH_D50,bsn,,10,100,
0,,SIG_G,bsn,,1,5,
0,,SOL_NO3,chm,,0,100,
0,,SOL_ORGN,chm,,0,100,
0,,SOL_LABP,chm,,0,100,
0,,SOL_ORGP,chm,,0,100,
0,,PLTPST,chm,,0,5,
0,,SOLPST,chm,,0,5,
0,,PSTENR,chm,,0,5,
0,,PPERCO_SUB,chm,,10,17.5,
